eventDate,habitat,country,countryCode,stateProvince,county,municipality,locality,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,pointRadiusSpatialFit,verbatimCoordinates,verbatimLatitude,verbatimLatitude,verbatimLongitude,verbatimLongitude,verbatimCoordinateSystem,verbatimCoordinateSystem,verbatimSRS,footprintWKT,georeferencedBy,georeferencedDate,georeferenceSources,georeference_verification_status,georeferenceRemarks,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,taxonConceptID,scientificName,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,namePublishedIn,name_published_in_year,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,taxonomicStatus,nomenclaturalStatus,taxonRemarks,species,verbatimIdentificationQualifier,provenance,recordID,dcterms:accessRights,verbatimContinent,verbatimBasisOfRecord
1968-12-08,Habitat: cultivado en un parque particular,Spain,ESP,,,,Hermosa (Medio Cudeyo),,,,43.3486,-3.7416,EPSG:4326,,,,43.3486,,-3.7416,,,,,,,,,,,c44d5aeb-20fe-11e3-9e2e-000c29035824,Not provided,,,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,61bed696-eedf-4d72-90f9-fea740076680,,,PreservedSpecimen
1972-12-15,,Spain,,,,,F. central de Barcelona,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,57bf95ac-68c2-4ed5-9246-94e62dfd353f,,,PreservedSpecimen
1985-12-01,,Spain,ES,Málaga,,,Málaga; Jardín Hospital Militar,,,,36.73076,-4.4115,EPSG:4326,35.0,,,36.73076,,-4.4115,,,,,,,,,,,,Not provided,,M. M. Trigo,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,42cc72c7-8739-445e-b597-b3ffb095171d,,,PreservedSpecimen
1926-12-02,,Spain,ESP,,,,Parc de la Bonanova,,,,,,,,,,,,,,,,,,,,,,,9591cecd-20fe-11e3-9e2e-000c29035824,Not provided,,,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,40ebccb4-93ce-4776-86ca-00a4cf9d892c,,,PreservedSpecimen
1926-12-02,,Spain,ESP,,,,Parc de la Bonanova,,,,,,,,,,,,,,,,,,,,,,,b7391f72-20fe-11e3-9e2e-000c29035824,Not provided,,,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,057a54d0-19f2-4766-bed2-cd0447eefe14,,,PreservedSpecimen
1982-06-12,,Spain,es,Barcelona,Barcelonès,,"Barcelona, Jardins de l'Universitat",,,,41.4,2.1,EPSG:4326,,,,41.40,,2.10,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,f486d8f7-bd2a-4526-a968-b2d330609389,,,PreservedSpecimen
1927-06-23,,France,FRA,,,,"Bouches du Rhóne: Marseille, Saint Barnabé",,,,,,,,,,,,,,,,,,,,,,,b4af344e-20fe-11e3-9e2e-000c29035824,Not provided,,,,,,2687885,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,669b42ff-c89f-4015-b8c9-8e6fab32a0f7,,,PreservedSpecimen
1980-06-16,,Spain,,,,,Hernani. Hernani ; Hogar del jubilado,,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,4550cbb9-1451-4510-884d-56438136cc63,,,PreservedSpecimen
1993-06-15,Cultivado en Jardín,Spain,ES,,,,"Jardín Botánico de Córdoba, AB 4-23",,,,37.87,-4.77,EPSG:4326,707.0,,30SUG4393,37.87,,-4.77,,,,,,,,,,,,Not provided,,P. Yuste,,,Proyecto Fin de Carrera,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,435e00df-6f0e-4f67-9a0e-8cc0e217320b,,,PreservedSpecimen
1982-06-12,,Spain,ES,,,València (Horta),"Jardí Botànic de València C-13, 1",,,,,,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,2687885,Ginkgo biloba L.,Ginkgo biloba,,,,,,,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,,biloba,,species,,L.,,,,,Ginkgo biloba,,Published dataset,40e04569-2a65-4b67-be59-23ca3a6f19be,,,PreservedSpecimen
